opratDate,areaSdNm,areaSggNm,areaEmdNm,netInflow,floatingPop,numClosures,time,treatment
2023-01-29,부산광역시,해운대구,중동,-33.0,1269.0,0,0,0
2023-01-30,부산광역시,남구,대연동,-113.0,3129.0,1,0,0
2023-01-30,부산광역시,부산진구,부전동,389.0,6285.0,2,0,0
2023-01-30,부산광역시,부산진구,전포동,-172.0,3476.0,0,0,0
2023-01-30,부산광역시,사상구,괘법동,90.0,1296.0,1,0,0
2023-01-30,부산광역시,사하구,하단동,-44.0,1614.0,0,0,0
2023-01-30,부산광역시,연제구,연산동,-294.0,4614.0,3,0,0
2023-01-30,부산광역시,해운대구,좌동,190.0,2776.0,0,0,0
2023-01-30,부산광역시,해운대구,중동,-46.0,2078.0,0,0,0
2023-01-31,부산광역시,남구,대연동,-176.0,3122.0,0,0,0
2023-01-31,부산광역시,부산진구,부전동,596.0,6476.0,1,0,0
2023-01-31,부산광역시,부산진구,전포동,-105.0,3481.0,3,0,0
2023-01-31,부산광역시,사상구,괘법동,132.0,1308.0,1,0,0
2023-01-31,부산광역시,사하구,하단동,-94.0,1658.0,4,0,0
2023-01-31,부산광역시,연제구,연산동,-471.0,4755.0,2,0,0
2023-01-31,부산광역시,해운대구,좌동,173.0,2887.0,1,0,0
2023-01-31,부산광역시,해운대구,중동,-55.0,2181.0,0,0,0
2023-02-01,부산광역시,남구,대연동,-235.0,3299.0,0,0,0
2023-02-01,부산광역시,부산진구,부전동,481.0,6739.0,1,0,0
2023-02-01,부산광역시,부산진구,전포동,-74.0,3426.0,0,0,0
2023-02-01,부산광역시,사상구,괘법동,97.0,1311.0,0,0,0
2023-02-01,부산광역시,사하구,하단동,6.0,1704.0,0,0,0
2023-02-01,부산광역시,연제구,연산동,-383.0,4863.0,0,0,0
2023-02-01,부산광역시,해운대구,좌동,113.0,2847.0,0,0,0
2023-02-01,부산광역시,해운대구,중동,-5.0,2073.0,0,0,0
2023-02-02,부산광역시,남구,대연동,-243.0,3105.0,0,0,0
2023-02-02,부산광역시,부산진구,부전동,516.0,6382.0,1,0,0
2023-02-02,부산광역시,부산진구,전포동,22.0,3360.0,0,0,0
2023-02-02,부산광역시,사상구,괘법동,115.0,1287.0,0,0,0
2023-02-02,부산광역시,사하구,하단동,-32.0,1560.0,0,0,0
2023-02-02,부산광역시,연제구,연산동,-534.0,4684.0,0,0,0
2023-02-02,부산광역시,해운대구,좌동,69.0,2863.0,1,0,0
2023-02-02,부산광역시,해운대구,중동,87.0,2083.0,0,0,0
2023-02-03,부산광역시,남구,대연동,-233.0,3331.0,1,0,0
2023-02-03,부산광역시,부산진구,부전동,648.0,6858.0,0,0,0
